timestamp,spot,gex_total_vol,zero_gamma
14:14:06,409.35,65.555,0
14:20:02,409.35,65.555,0
14:25:01,409.35,65.555,0
14:30:02,412.56,0,0
14:35:02,418.36,28.352,0
14:40:02,418.71,9.994,0
14:45:02,416.97,13.754,0
14:50:02,416.83,25.501,0
14:55:02,415.58,17.419,0
15:00:01,415.73,25.433,0
15:05:02,415.2,15.69,0
15:10:02,414,3.324,0
15:15:02,414.59,21.759,0
15:20:01,413.85,17.081,0
15:25:02,414.06,20.75,0
15:30:02,414.78,22.919,0
15:35:02,414.21,16.089,0
15:40:02,414.63,16.519,0
15:45:03,415.26,17.126,0
15:50:02,415.35,19.426,0
15:55:02,414.81,9.547,0
16:00:02,415.42,15.68,0
16:05:02,415.21,6.926,0
16:10:02,414.93,0.139,0
16:15:02,414.43,-7.903,0
16:20:02,413.99,-32.56,0
16:25:02,413.77,-39.887,0
16:30:02,413.9,-44.234,0
16:35:02,413.79,-50.484,0
16:40:02,414.34,-43.594,0
16:45:02,413.73,-57.731,0
16:50:02,413.5,-57.97,0
20:49:52,415.96,-35.999,0
