timestamp,spot,gex_total_vol,zero_gamma
14:14:06,89.9,0.331,0
14:20:02,89.9,0.331,0
14:25:01,89.9,0.331,0
14:30:02,89.72,0,0
14:35:02,89.76,-2.679,0
14:40:02,89.75,-2.036,0
14:45:02,89.79,-1.955,0
14:50:02,89.77,-1.369,0
14:55:02,89.73,-1.654,0
15:00:01,89.73,-1.763,0
15:05:02,89.75,-1.919,0
15:10:02,89.79,-1.949,0
15:15:02,89.81,-2.195,0
15:20:01,89.81,-2.556,0
15:25:02,89.78,-2.248,0
15:30:02,89.78,-0.939,0
15:35:02,89.86,-1.262,0
15:40:02,89.85,-3.236,0
15:45:03,89.86,-3.637,0
15:50:02,89.83,-3.603,0
15:55:02,89.8,-3.167,0
16:00:02,89.87,-3.436,0
16:05:02,89.88,-3.372,0
16:10:02,89.87,-3.589,0
16:15:02,89.89,-3.687,0
16:20:02,89.88,-3.875,0
16:25:02,89.9,-3.677,0
16:30:02,89.92,-3.776,0
16:35:02,89.95,-3.951,0
16:40:02,89.95,-4.089,0
16:45:02,89.99,-4.501,0
16:50:02,89.99,-5.072,0
20:49:52,89.88,-0.897,0
