timestamp,spot,gex_total_vol,zero_gamma
14:14:06,80.81,-6.731,0
14:20:02,80.81,-6.731,0
14:25:01,80.81,-6.731,0
14:30:02,80.84,0,0
14:35:02,80.83,0,0
14:40:02,80.83,0.015,0
14:45:02,80.87,0.013,0
14:50:02,80.86,0.018,0
14:55:02,80.87,0.018,0
15:00:01,80.86,0.029,0
15:05:02,80.86,-0.098,0
15:10:02,80.85,-0.098,0
15:15:02,80.85,-0.094,0
15:20:01,80.85,-0.094,0
15:25:02,80.85,-0.094,0
15:30:02,80.86,-0.094,0
15:35:02,80.86,-0.094,0
15:40:02,80.86,-0.094,0
15:45:03,80.86,-0.094,0
15:50:02,80.86,-0.113,0
15:55:02,80.85,-0.113,0
16:00:02,80.86,-0.113,0
16:05:02,80.86,-0.113,0
16:10:02,80.86,-0.113,0
16:15:02,80.88,-0.112,0
16:20:02,80.88,0.194,0
16:25:02,80.89,0.117,0
16:30:02,80.89,0.19,0
16:35:02,80.9,0.22,0
16:40:02,80.92,0.201,0
16:45:02,80.92,0.201,0
16:50:02,80.92,0.201,0
20:49:52,80.91,-0.251,0
