timestamp,spot,gex_total_vol,zero_gamma
14:14:06,607.79,637.987,0
14:20:02,607.79,637.987,0
14:25:01,607.79,637.987,0
14:30:02,611.09,0,0
14:35:02,612.58,1.675,0
14:40:02,613.13,88.767,0
14:45:02,613.78,108.062,0
14:50:02,614.93,132.723,0
14:55:02,615.29,199.603,0
15:00:01,615.53,226.514,0
15:05:02,615.32,210.548,0
15:10:02,614.85,174.054,0
15:15:02,614.64,198.333,0
15:20:01,614.41,226.616,0
15:25:02,614.67,293.888,0
15:30:02,615.26,286.373,0
15:35:02,614.41,246.444,0
15:40:02,614.41,238.033,0
15:45:03,614.43,254.081,0
15:50:02,614.51,260.269,0
15:55:02,614.06,235.075,0
16:00:02,614.35,248.845,0
16:05:02,614.23,210.033,0
16:10:02,614.53,220.212,0
16:15:02,614.42,184.843,0
16:20:02,614.21,203.085,0
16:25:02,614.34,213.445,0
16:30:02,614.47,221.119,0
16:35:02,614.48,220.248,0
16:40:02,614.76,190.139,0
16:45:02,614.98,241.48,0
16:50:02,615.01,245.197,0
20:49:52,616.49,192.556,0
