timestamp,spot,gex_total_vol,zero_gamma
14:14:06,208.54,0.315,0
14:20:02,208.54,0.315,0
14:25:01,208.54,0.315,0
14:30:02,210.5,0,0
14:35:02,210.16,1.897,0
14:40:02,209.9,1.328,0
14:45:02,210.25,3.607,0
14:50:02,210.48,5.349,0
14:55:02,210.71,2.398,0
15:00:01,210.82,2.858,0
15:05:02,211.33,10.075,0
15:10:02,210.66,9.72,0
15:15:02,210.64,12.315,0
15:20:01,210.22,7.901,0
15:25:02,210.17,8.271,0
15:30:02,210.45,9.734,0
15:35:02,210.16,7.893,0
15:40:02,210.11,5.727,0
15:45:03,210.5,8.283,0
15:50:02,210.92,13.047,0
15:55:02,210.33,7.171,0
16:00:02,210.39,6.119,0
16:05:02,210.24,4.148,0
16:10:02,210.12,3.615,0
16:15:02,210.02,6.075,0
16:20:02,209.81,6.165,0
16:25:02,210.04,5.805,0
16:30:02,209.93,5.328,0
16:35:02,209.88,5.938,0
16:40:02,209.83,5.056,0
16:45:02,209.86,4.051,0
16:50:02,209.81,1.826,0
20:49:52,210.31,-26.071,0
