timestamp,spot,gex_total_vol,zero_gamma
14:14:06,687.42,-398.044,0
14:20:02,687.42,-398.044,0
14:25:01,687.42,-398.044,0
14:30:02,690.29,0,0
14:35:02,690.83,13.224,0
14:40:02,691.07,138.352,0
14:45:02,691.02,29.91,0
14:50:02,691.66,8.544,0
14:55:02,691.41,65.24,0
15:00:01,691.32,117.303,0
15:05:02,691,151.618,0
15:10:02,690.52,165.53,0
15:15:02,690.5,110.103,0
15:20:01,690.62,139.068,0
15:25:02,690.72,117.785,0
15:30:02,691.13,184.103,0
15:35:02,690.46,165.191,0
15:40:02,690.4,195.181,0
15:45:03,690.58,232.109,0
15:50:02,690.49,208.668,0
15:55:02,690.46,236.013,0
16:00:02,690.87,236.158,0
16:05:02,690.92,204.191,0
16:10:02,691.26,149.945,0
16:15:02,691.11,133.48,0
16:20:02,690.81,112.897,0
16:25:02,691.11,93.235,0
16:30:02,691.48,158.937,0
16:35:02,691.51,165.043,0
16:40:02,691.71,75.784,0
16:45:02,691.91,33.48,0
16:50:02,692.22,65.479,0
20:49:52,693.25,-250.741,0
