timestamp,spot,gex_total_vol,zero_gamma
14:14:06,310.85,8.176,0
14:20:02,310.85,8.176,0
14:25:01,310.85,8.176,0
14:30:02,311.91,0,0
14:35:02,310.36,0.133,0
14:40:02,311.96,3.518,0
14:45:02,312.5,5.278,0
14:50:02,313.21,9.573,0
14:55:02,313.2,6.671,0
15:00:01,312.85,15.446,0
15:05:02,311.67,13.001,0
15:10:02,311.96,14.66,0
15:15:02,311.77,14.157,0
15:20:01,311.54,14.862,0
15:25:02,311.68,6.13,0
15:30:02,312.06,8.961,0
15:35:02,311.22,4.95,0
15:40:02,310.62,2.786,0
15:45:03,310.26,-1.049,0
15:50:02,310.27,-0.586,0
15:55:02,309.85,-0.172,0
16:00:02,309.94,-0.774,0
16:05:02,310.49,-0.245,0
16:10:02,309.75,-1.49,0
16:15:02,309.94,5.217,0
16:20:02,310.32,5.94,0
16:25:02,310.46,4.617,0
16:30:02,310.64,6.883,0
16:35:02,310.67,7.957,0
16:40:02,310.77,8.067,0
16:45:02,311.12,11.72,0
16:50:02,311.06,9.218,0
20:49:52,312.48,56.776,0
