timestamp,spot,gex_total_vol,zero_gamma
14:14:06,6891.04,16.442,0
14:20:02,6891.04,16.442,0
14:25:01,6891.04,16.442,0
14:30:02,6915.15,0,0
14:35:02,6925.61,-151.132,0
14:40:02,6928.35,55.654,0
14:45:02,6926.12,207.002,0
14:50:02,6932.65,679.041,0
14:55:02,6930.75,776.598,0
15:00:01,6930.09,916.898,0
15:05:02,6926.19,310.423,0
15:10:02,6921.54,-91.789,0
15:15:02,6921.1,161.728,0
15:20:01,6922.92,9.023,0
15:25:02,6924.18,652.973,0
15:30:02,6927.74,1318.386,0
15:35:02,6921.04,673.073,0
15:40:02,6920.48,831.802,0
15:45:03,6921.78,1285.123,0
15:50:02,6921.55,1505.705,0
15:55:02,6920.96,1426.477,0
16:00:02,6924.59,2273.897,0
