timestamp,spot,gex_total_vol,zero_gamma
14:14:06,263.33,-27.574,0
14:20:02,263.33,-27.574,0
14:25:01,263.33,-27.574,0
14:30:02,265.17,0,0
14:35:02,264.44,-3.743,0
14:40:02,263.74,-7.126,0
14:45:02,263.62,-13.189,0
14:50:02,264.03,-2.883,0
14:55:02,263.97,-11.224,0
15:00:01,263.74,-5.583,0
15:05:02,263.51,1.686,0
15:10:02,263,-2.406,0
15:15:02,263.09,-0.018,0
15:20:01,263.11,-0.494,0
15:25:02,263.1,0.368,0
15:30:02,262.99,2.202,0
15:35:02,262.64,-8.298,0
15:40:02,262.51,-11.075,0
15:45:03,262.89,-8.625,0
15:50:02,262.83,-7.314,0
15:55:02,262.96,-2.082,0
16:00:02,262.95,-1.207,0
