timestamp,spot,gex_total_vol,zero_gamma
14:14:06,272.14,-10.606,0
14:20:02,272.14,-10.606,0
14:25:01,272.14,-10.606,0
14:30:02,271.81,0,0
14:35:02,272.13,-0.242,0
14:40:02,271.41,-5.878,0
14:45:02,272.32,-3.557,0
14:50:02,273.51,6.54,0
14:55:02,273.29,2.544,0
15:00:01,273.96,14.05,0
15:05:02,272.74,7.906,0
15:10:02,272.71,11.314,0
15:15:02,272.97,13.56,0
15:20:01,273.27,18.671,0
15:25:02,273.2,17.292,0
15:30:02,273.62,21.573,0
15:35:02,273.49,25.506,0
15:40:02,273.7,25.297,0
15:45:03,273.41,26.09,0
15:50:02,273.4,50.346,0
15:55:02,273.22,44.07,0
16:00:02,273.55,52.015,0
